Price,Close,High,Low,Open,Volume
Ticker,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC
Date,,,,,
2021-01-26,3849.62011719,3870.89990234,3847.78002930,3862.95996094,6137500000
2021-01-27,3750.77001953,3836.83007812,3732.47998047,3836.83007812,9976520000
2021-01-28,3787.37988281,3830.50000000,3755.75000000,3755.75000000,6992770000
2021-01-29,3714.23999023,3778.05004883,3694.12011719,3778.05004883,6643370000
2021-02-01,3773.86010742,3784.32006836,3725.62011719,3731.16992188,5436230000
2021-02-02,3826.31005859,3843.09008789,3791.84008789,3791.84008789,5514090000
2021-02-03,3830.16992188,3847.51000977,3816.67993164,3840.27001953,4864870000
2021-02-04,3871.73999023,3872.41992188,3836.65991211,3836.65991211,4879240000
2021-02-05,3886.83007812,3894.56005859,3874.92993164,3878.30004883,4879470000
2021-02-08,3915.59008789,3915.77001953,3892.59008789,3892.59008789,4648360000
2021-02-09,3911.22998047,3918.35009766,3902.63989258,3910.48999023,4568320000
2021-02-10,3909.87988281,3931.50000000,3884.93994141,3920.78002930,4837070000
2021-02-11,3916.37988281,3925.98999023,3890.38989258,3916.39990234,4590960000
2021-02-12,3934.83007812,3937.22998047,3905.78002930,3911.64990234,4135060000
2021-02-16,3932.59008789,3950.42993164,3923.85009766,3939.61010742,5058990000
2021-02-17,3931.33007812,3933.61010742,3900.42993164,3918.50000000,4730650000
2021-02-18,3913.96997070,3921.97998047,3885.03002930,3915.86010742,4793650000
2021-02-19,3906.70996094,3930.40991211,3903.07006836,3921.15991211,4845320000
2021-02-22,3876.50000000,3902.91992188,3874.70996094,3885.55004883,5917100000
2021-02-23,3881.37011719,3895.97998047,3805.59008789,3857.07006836,6296610000
2021-02-24,3925.42993164,3928.64990234,3859.60009766,3873.70996094,6012790000
2021-02-25,3829.34008789,3925.02001953,3814.04003906,3915.80004883,6547470000
2021-02-26,3811.14990234,3861.08007812,3789.54003906,3839.65991211,6526070000
2021-03-01,3901.82006836,3914.50000000,3842.51000977,3842.51000977,5114820000
2021-03-02,3870.29003906,3906.40991211,3868.57006836,3903.63989258,5536010000
2021-03-03,3819.71997070,3874.46997070,3818.86010742,3863.98999023,6173660000
2021-03-04,3768.46997070,3843.66992188,3723.34008789,3818.53002930,7195400000
2021-03-05,3841.93994141,3851.68994141,3730.18994141,3793.58007812,6851070000
2021-03-08,3821.35009766,3881.06005859,3819.25000000,3844.38989258,5871710000
2021-03-09,3875.43994141,3903.76000977,3851.92993164,3851.92993164,5513560000
2021-03-10,3898.81005859,3917.35009766,3885.72998047,3891.98999023,5847380000
2021-03-11,3939.34008789,3960.27001953,3915.54003906,3915.54003906,5312880000
2021-03-12,3943.34008789,3944.98999023,3915.20996094,3924.52001953,4476280000
2021-03-15,3968.93994141,3970.08007812,3923.54003906,3942.95996094,4900100000
2021-03-16,3962.70996094,3981.04003906,3953.43994141,3973.59008789,4613080000
2021-03-17,3974.12011719,3983.87011719,3935.73999023,3949.57006836,4561660000
2021-03-18,3915.45996094,3969.62011719,3910.86010742,3953.50000000,5118590000
2021-03-19,3913.10009766,3930.12011719,3886.75000000,3913.13989258,7757420000
2021-03-22,3940.59008789,3955.31005859,3914.15991211,3916.47998047,4316260000
2021-03-23,3910.52001953,3949.12988281,3901.57006836,3937.60009766,4669010000
2021-03-24,3889.13989258,3942.08007812,3889.07006836,3919.92993164,4783020000
2021-03-25,3909.52001953,3919.54003906,3853.50000000,3879.34008789,4948340000
2021-03-26,3974.54003906,3978.18994141,3917.12011719,3917.12011719,5483160000
2021-03-29,3971.09008789,3981.83007812,3943.25000000,3969.31005859,4628180000
2021-03-30,3958.55004883,3968.01000977,3944.35009766,3963.34008789,4121510000
2021-03-31,3972.88989258,3994.40991211,3966.97998047,3967.25000000,4578050000
2021-04-01,4019.87011719,4020.62988281,3992.78002930,3992.78002930,4162130000
2021-04-05,4077.90991211,4083.41992188,4034.43994141,4034.43994141,4005030000
2021-04-06,4073.93994141,4086.22998047,4068.13989258,4075.57006836,4081270000
2021-04-07,4079.94995117,4083.12988281,4068.31005859,4074.29003906,4120810000
2021-04-08,4097.16992188,4098.18994141,4082.54003906,4089.94995117,3907100000
2021-04-09,4128.79980469,4129.47998047,4095.51000977,4096.10986328,3640390000
2021-04-12,4127.99023438,4131.75976562,4114.81982422,4124.70996094,3588900000
2021-04-13,4141.58984375,4148.00000000,4124.43017578,4130.10009766,3734720000
2021-04-14,4124.66015625,4151.68994141,4120.87011719,4141.58007812,3985350000
2021-04-15,4170.41992188,4173.49023438,4139.75976562,4139.75976562,4033420000
2021-04-16,4185.47021484,4191.31005859,4170.75000000,4174.14013672,4163820000
2021-04-19,4163.25976562,4180.81005859,4150.47021484,4179.79980469,3810290000
2021-04-20,4134.93994141,4159.18017578,4118.37988281,4159.18017578,4342650000
2021-04-21,4173.41992188,4175.02001953,4126.35009766,4128.41992188,3887250000
2021-04-22,4134.97998047,4179.56982422,4123.68994141,4170.45996094,4245140000
2021-04-23,4180.16992188,4194.16992188,4138.77978516,4138.77978516,3569880000
2021-04-26,4187.62011719,4194.18994141,4182.35986328,4185.02978516,3748320000
2021-04-27,4186.72021484,4193.35009766,4176.22021484,4188.25000000,3710700000
2021-04-28,4183.18017578,4201.52978516,4181.77978516,4185.14013672,3787360000
2021-04-29,4211.47021484,4218.77978516,4176.81005859,4206.14013672,4298680000
2021-04-30,4181.16992188,4198.10009766,4174.85009766,4198.10009766,4300880000
2021-05-03,4192.66015625,4209.39013672,4188.02978516,4191.97998047,4070220000
2021-05-04,4164.66015625,4179.04003906,4128.58984375,4179.04003906,4452460000
2021-05-05,4167.58984375,4187.72021484,4160.93994141,4177.06005859,4230920000
2021-05-06,4201.62011719,4202.70019531,4147.33007812,4169.14013672,4511000000
2021-05-07,4232.60009766,4238.04003906,4201.64013672,4210.33984375,4016080000
2021-05-10,4188.43017578,4236.39013672,4188.12988281,4228.29003906,4560700000
2021-05-11,4152.10009766,4162.04003906,4111.52978516,4150.33984375,4870710000
2021-05-12,4063.04003906,4134.72998047,4056.87988281,4130.54980469,4733070000
2021-05-13,4112.50000000,4131.58007812,4074.98999023,4074.98999023,4779540000
2021-05-14,4173.85009766,4183.12988281,4129.58007812,4129.58007812,4008880000
2021-05-17,4163.29003906,4171.91992188,4142.68994141,4169.91992188,4125050000
